score,review
4,가격대비 양이 많지는 않음. 친구가 가운데 치즈 때문에 가자고 했는데 괜찮았다. 막 특색이 있다는 아닌데 볶음밥이 맛있다. 기름에 볶아진 느낌이 아닌데 약간 달달하니 손이 계속 갔다. 무슨 봉봉인지 뭐시기 음료 절대 비추
3,
4,
5,여자친구와 치즈 닭갈비를 잘 먹었어요. 넘 배불러서 볶음밥까진 못 먹었어요 ㅋㅋ
4,"닭갈비만 먹었을 땐 3점이었는데, 볶음밥까지 먹고 4점 드립니다. 볶음밥 꼭 드세요!  중간맛으로 먹었는데 적당히 매콤하고 치즈에 양파랑 같이 먹으니 괜찮았습니다. 순한맛으로 먹었으면 좀 많이 싱거웠을 것 같아요.  엄청 뛰어난 맛과 서비스를 기대하긴 힘들겠지만.. 위치 좋고, 비주얼 좋고, 적당히 호불호 안 갈리게 한 끼 먹기 괜찮습니다. "
3,맛있게 먹긴했으나... 단맛이 너무 강해서 별5개는 아니라고 보임
5,맛있는데 단맛이 좀 강함
4,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.
4,생각보다 맛있었어요 양도 적당. 볶음밥 굿
4,
5,맛있어여 바쁜 와중에 직원분들 친절하게 응대해요
5,가성비 진짜 최고~  닭갈비에 무조건 치즈사리 추가!! 마지막 볶음밥까지~ 한끼식사로 충분해요~
1,"평일 오후타임 일하는 여자알바분 개념은 밥 말아먹으셨나봐요? 앉을 자리 보고 qr체크인 한다고 말했더니 짝다리 짚고 서서 노려보면서 qr찍으라고 소리치고, 벨누르는데 직원끼리 모여앉아서 노느라 보는 시늉도 안하고, 영수증에 금액 두배로 찍혀있어서 말했더니 사과한마디도 안하고. 가본 식당중에 단연 서비스 최악이었습니다. 장사할거면 직원교육부터 똑바로 시키시길..."
3,
5,여기는 무조건 치즈 추가 필수 줄여서 치추필 기억하세요 치추필 뭐라고요 치추필
5,치즈닭갈비 너무맛있어요 ㅠㅠ 깔끔하고 좋아요 
5,동네에 체인점 있었을 때 맛있어서 많이 갔었는데~~! 지금은 없어졌지만 강남 들른김에 생각나서 방문했네요. 여전히 맛은 그대로 입니다 
5,양 많고 맛있네요~!
5,닭갈비 양도 많고 맛있어요!
5,여긴 치즈추가 필수에요 ㅜㅜ 매콤한 닭갈비에 싸악 싸먹으면…. 가성비도 넘 좋아용 추천!!
5,정말 맛있어요..   가성비최고
1,난생 처음 보는 비상식적인 응대에 감탄하고 갑니다. 직원분이 하시는 말 못 들은 상황이었는데 저희가 귀머거리도 아니고 무슨 조롱하듯 대여섯번을 앞에서 QR체크 하셔야해요 하면서 소리지르시더라고요. 와중에 옆에서 다른 직원분은 말리지도 않고 웃고 계시고요. 매장에 1분있었음에도 전반적인 서비스가 얼마나 형편없는 지 알 수 있었습니다. 왜 알바를 안 바꾸시는 ...
1,"아니 알바생인지 매니저인지 모르겠는데 자리를 옮겼다고 말도 안하고 저희가 옮긴것도 아니고 양해를 구하고 옮겼고. 즐겁게 먹고 계산을 하고 나가려던 와중. ""아, 거기 멈춰봐요. 일로와서 다시 계산하세요."" 이러면서 명령하듯이 화가난 말투로 말씀하셨는데 본인들이 빌지 처리를 잘못하셔서 계산하셨으면서 정중히 사과를 해도 전혀 이상한 상황이 아닌데 오히려 저희한..."
4,
3,양념이 너무 달다. 그래도 배는 부름
1,16일 토요일 12시 30분 예약이었고 카운터에 계신 남자분한테 예약자 이름 말씀드리니 4번이라고 해서 갔더니 4번 방에 다른 손님들이 계심 당황해서 홀에 있는 다른 직원분한테 여쭤보니 2번이라고 하셔서 가보니 또 아님;진짜 개판이에요 아래 리뷰분들처럼 벨 3번 무시에다가  12시 30분-13:30 근무하고 계시는 고기 자르는 중년 여자분 고기 자르면서 마...
4,된찌밥이 진짜 별미
2,이 가격이라면 맛 없을 수는 없겠지만 기대보다는 그닥..ㅠㅠ다른 지점에서는 분명 더 맛있게 먹었는데 구워주시는 분에 따라 차이가 있는 걸까요..
1,살다살다 이런 가게는 처음입니다. 사고 쳐놓고 직원끼리 작당모의 하고 아무일 없는 척 일하는 분들. 매니저는 가식적으로 다음에 오면 서비스 해드릴게요 하는가게. 옛날 창고 생각하고 가시지 않길 바랍니다. 유명 프랜차이즈에 인수된 가게에 불과합니다
1,두번 가지는 않을것 후기대로 직원들 싸가지 없음 벨무시 기본 메뉴판 달라니까 불친절하게 저뒤에 있잖아요  내가 이집 주인이냐! 저뒤에 있는줄 알게!!! 다신 안간다 
1,벨 무시당함 지나가는 직원한테 고기꿔달라고 말해야함. 언제먹으라는 말도 없이 그냥 휙 가버림  이 돈주고 이 서비스를 당해야하나
2,"불친절, 반찬이 특색없음   특히 깍두기볶음밥 최악  물냉은 그나마 먹을만  담부턴 경천애인이나 한와담 가야지"
4,
4,룸에서 모임하기 좋아요.
5,너무 조치 룸도 잇고 근데 환기가 안됨 ㅠ 그리고 카운터 남자분 일 똑바로 햇으면 ㅠ 싸1가지 진짜 가정교육 된장찌개에 밥말아먹엇나
2,"여기올때마다느끼는거지만 카운터 직원, 맨앞에서 자리응대하는직원 참 불친절... 말풍선 다보인다. 말하는게 기본이 안된듯"
5,
2,바닥이 너무 미끌거림..  파채는 도끼로 써는듯
4,친구들과 즐겁게 식사하고 왔어요. 룸도 있어서 룸에서 먹으니 좋네요!
5,
1,원래 리뷰 아예안쓰는데 처음 씁니다.  오랜만에 왔는데 서비스는 개나 줘버리고 고기올려놓고 까먹은건지 뭔지 오지도 않고 이게 소고기인지 고무씹는건지 모르겠네요. 맛있다고 지인 데려왔는데 다신 안올거같아요 만원짜리 삼겹살집이 더 나았을듯 
1,아니 고기 몇만원어치를 먹는데 계속 안구워주고 벨을 눌러도 묵묵 부답 진짜 비싼값내고 먹는데 짜증나 죽을뻔함
2,가격 대비 서비스나 실수 후 응대가 너무 별로입니다
1,
3,왠지 모르지만 맛의 기복이 있어요 그리고 나갈 때쯤이면 거의 훈제인간 됨
2,호불호가 확실히 갈릴 거 같아요
3,
2,후식도있었나요? 못먹음 (디너) 창고43스페셜
4,
4,고기질 좋고 잘 구워줌. 가격은 비싼 편.  (1인당 16.7만 지불)
5,"가격이 좀 비싸지만 통통하고 넘나 맛있어요,, 양 적어서 3명이서 6인분은 먹어줘야해요 직원분들 친절해요"
4,
4,"목살, 삼겹살 먹었는데 첫 한점은 정말 맛있는데 나중갈수록 퍽퍽해서 아쉬웠어요ㅜㅠ 남자친구가 강추해서 같이 간 곳인데 고기 구워주시는 직원분에 따라서 고기 맛이 달라지는 거 같아요~ 비빔냉면도 맛있었습니다~"
5,맛잇어요!̤̮
4,맛있게 잘 먹었습니다
5,
4,입에서 살살 녹아요.ㅎㅎ
4,고기맛이 끝내줘요~~
4,맛있어요
4,육전식당 신설동 본점도 자주 갔는데 강남에도 있길래 방문함. 기대가 너무 컸나 다들 맛나게 먹었지만 부족했음… 많이 시끄러워 대화하는데 목이 아팠다. 고기맛은 여전히 굿. 
3,오늘은 삼겹살이 질겼어요 목살은 겉바속촉이었는데 삼겹살 살코기 질김 무슨 일이죠? 원래 육즙팡팡 부드럽게 녹았잖아요 고기 상태 신경써주세요... 지인에게 자신있게 소개한 곳이었는데 아쉬운 자리였네요ㅠㅠ
5,맛있음
5,목살도 존맛 삼겹살은 대존맛 사진 왜 못찍었을까 나
1,
5,고기 자체가 맛있네요!!! 소금 갈치젓 다 맛있어요!
5,
4,맛잇으느 비싸다으
5,C'est tellement gentil ici que je peux sentir le goût coréen.
5,친절하고 너무 맛있었어요. 고기도 진짜 맛잇게 구워주시고..  근데 볶음밥은 진짜 별로에요. 비싼데 맛이없어요.. 고기많이드세요
4,
5,ㅈㅁㅌㅌㄱㄹ
4,
5,
3,맛은 있지만 가성비는 좋지 않아요
4,맛있고 직원 분들이 매우 친절하셨어요
3,이름은 두껍삼인데 너무 얇게 잘라 주심
2,"체인점, 예약 용이, 깔끔 "
1,포장/배달 서비스를 본인들 기분대로 하다가…말다가… 구멍가게도 아니고 일을 너무 아마추어 같이 합니까?! 
2,"18,000원에 150g... 삼겹살치곤 가격이 좀 있는편인데 그에 걸맞는 맛인지는 잘... 메리트라면 고기를 구워준다는것 이외에는 잘 모르겠네요..... 맛이 없진 않은데 그렇다고 저만한 가격을 줄만한 맛인지도 의문입니다"
5,맛있어요 22 3344 사이드 전부 맛있어요 ㅠㅠ
4,맛있어요! 
5,
5,
1,맛도 그닥.. 가성비 별로. 제일 별로는 직원이 넘 싸가지 없음.. 다들 다른 곳 가시길.. 1점도 아까움ㅠ
1,삼겹살이 160그램에 18000원. 삼겹살 목살 각 1인분씩 주문하려고 했으나 첫 주문에는 최소 2인분 주문해야 한다고;;  맛이라도 특별하면 몰라 그냥 하남돼지집 수준.  매장도 너무 시끄러움 걍 도떼기시장 ㅇㅇ 바빠서 그런가 직원들은 짜증이 기본 베이스로 깔려있음. 주차장 넓고 직원이 직접 구워주고 냄새 안 밴다는 것만 장점
3,가격대비 그닥 특별함은.. 맛은있음
3,맛은있으나 가격이 생각보다비싸서 놀랐던기억이ㅠ
3,"고기맛이 나쁘진 않은데, 가격대비 훌륭한 느낌은 아니다 요기 갈 것 같으면 땅코간다!"
1,"서비스, 위생 최악! 샐러드에서 철 수세미 나왔는데, 알바인지 직원인지 미안하단말 한마디도 없고 “바꿔드릴까요?” 이 한마디. 바꿔주는건 당연하고 사과부터 해야하는거 아닌가요? 두번째 구워주러 오신 남자분도 정말 대충대충 하기싫으시면 일하지마세요. 친절을 바라는게 아니라 손님이 불편함을 느낄정도의 불친절은 점주의 잘못인걸까요? 이글 지우지마시고, 제발 문제..."
1,지금 먹고 있는데 다 태우시고 고기를 이렇게 얇게 썰어서 ㅜㅜ  직원 교육이 필요합니다
4,직접구워줘서 편하고 냄새도 안배서 좋음 다만 조금 어수선함 느낌. 고기맛도 쏘쏘~~
4,"맛있는데 양이 넘 적은거 같긔,,"
4,
5,숙성삼겹살 맛있어요. 옷에 냄새도 안나고 땀안흘리고 고기먹고 왔어요~  www.dookupsam.com
4,맛있고 깔끔해서 좋네요
4,
4,맛있음
1,#무례한 단체손놈들 #능력없는 매니저 #도떼기시장
4,
4,
5,맛있음 반찬도 굿
4,
5,맛나게먹었어요
1,"숯불, 석쇠(그릴)위에 고기를 굽다보니 연기가 너무 심한건 둘째치고 고기에 그을음이 코팅되는군요. 목살에 마블링처럼 보이는 부분(목살에 웬 마블링?)은 먹어보니 힘줄 같네요. 등받이 없는 의자도 불편해요. 포장마차도 아니고 이 가격에... "
3,그나마 먹을만한건 이베리코 목살
1,"애매하다. 목살은 너무 질겨서 충정로 *툼 보다 못하고, 항정살은 기름덩어리라 남영동 **돈만 못하고, 삼겹살이랑 된찌가 그래도 그나마 제일 낫다. 별 3개가 적당한데, 현 평점이 너무 높아서 1개 드려본다. 웨이팅하면서 먹을 곳은 아닌듯."
5,숙성돼지라 맛있었어요~~ 친절하시고 고기도 잘 구워주세요 추가주문도 테블릿으로 해서 편하고 단점은 늦게가면 웨이팅이 있다는 점?? 
4,괜찮음
5,존맛탱!! 인생 삼겹살집 입니다요
4,
5,진심 대박 맛있고! 특별한건 직원분이 끝까지 구워주시는게 최고! 내 인생  최고의 고기집이였음!
1,고기는 맛있는데 직원분들 태도는 그닥... 내 돈 주고가는데 왜 내가 가게직원 눈치를 봐야 하지?
1,20분다되도록 고기안나와서 두번이나 얘기했는데  죄송하다는 말도 그닥 성의없이 하시고 고객응대 서비스는 최악이었습니다.  고기는 맛있긴 함.
5,걍개마싯윰ㄹㅇ 좀비싸긴함
5,고기는 맛있어요~
